leo@primisinfaucibus.edu;3495; Très bon produit, je recommande;5
leo@primisinfaucibus.edu;1069; Les notes boisées m'ont particulièrement plu, malgré le degré un peu élevé;4
tellus.lorem.eu@convallis.co.uk;4805; Correct malgré le rapport quantité/prix, le goût est très agréable en bouche !;3
tellus.lorem.eu@convallis.co.uk;2059; Le goût fumé m'a particulièrement plus, foncez !;4
id.enim.Curabitur@cursusdiam.co.uk;5297;Ca se boit comme de l'eau;5
id.enim.Curabitur@cursusdiam.co.uk;4835;Gout ecoeurant, ne m'a pas plu :( Si j'avais pu j'aurais mis zéro!;1
id.enim.Curabitur@cursusdiam.co.uk;2550;"très beau packaging, très beau livreur ;)";3
Nullam@adipiscingelit.com;2884;Correct, il y a mieux dans le site mais ça reste convenable;3
Nullam@adipiscingelit.com;3441;C'était super bon, mon chien en a bu, on est chez le veto la :( mauvaise experience mais je recommande le produit;4
sed.hendrerit@gravidanonsollicitudin.edu;3902;Le goût de raisin sucré m'a rappelé les Noël de mon enfance lointaine;5
sed.hendrerit@gravidanonsollicitudin.edu;4123;Se mélange très bien avec le café;4
purus.gravida.sagittis@ligulaeu.com;2754;Se mélange très bien avec du Malibu;3
purus.gravida.sagittis@ligulaeu.com;636;J'avais commandé une tondeuse à gazon pourtant ... Mais bon je suis malgré tout agréablement surpris !;3
Vivamus.rhoncus.Donec@nonduinec.com;1313;Magnifique, merveilleux, fantastique, foncez ! Les mots me manquent pour décrire ce merveilleux breuvage;5
id.enim.Curabitur@cursusdiam.co.uk;1313;Incipide, m'a rappelé le coca du mcdo;1
a.sollicitudin.orci@id.net;1313;correct, bon commencement pour les amateurs d'alcool;3
